Earliest Dropoff Date,Latest Dropoff Date,Earliest Dropoff Time,Latest Dropoff Time,Tracking Code,Region Code,Assignment ID,Shipment ID,Label,Shipment status,Inbound status,Inbound Scan Date (Linehaul),Inbound Scan Time,Inbound Comments,Pickup Date,Pickup Time,Pickup remark,Pickup Status,Pickup Comments,Driver ID,Driver Name,Courier,Drop off date,Drop off Time,Drop off status,Drop off remark,Dropoff Reason,Drop off Location,Complaints on Driver Behavior,POD Valid?,POD Quality,Issue Category,Delivery Comments,AH Assessment,Scheduled Delivery Date
,,,,SCD0970110406463267,,,,,,,,,,,,,,需要看shipment history,,,,,,,,,,,,,Not Due to AX performance,Package not received by AxleHire,Package not received by AxleHire,2023-03-20
2023-03-20,2023-03-20,08:00,20:00,SCD0970110406465406,SDLAX,,37074349.0,,DISPOSABLE,RECEIVED_OK,2023-03-20,05:09,,,,,,需要看shipment history,, ,,,,,,,,,,,,,,2023-03-20
2023-03-20,2023-03-20,08:00,20:00,SCD0970110406462417,LAX,,37072829.0,,DISPOSABLE,RECEIVED_OK,2023-03-19,19:48,,,,,,需要看shipment history,, ,,,,,,,,,,,,,,2023-03-20
2023-03-20,2023-03-20,08:00,20:00,SCD0970110406474367,LAX,,37075733.0,,DISPOSABLE,RECEIVED_OK,2023-03-19,19:59,,2023-03-20,07:36,,SUCCEEDED,,, ,,2023-03-20,12:15,FAILED,Wrong / no access code,NO_ACCESS_CODE,,,,,,,,2023-03-20
2023-03-20,2023-03-20,08:00,20:00,SCD0970110406461613,SDLAX,,37069985.0,,DISPOSABLE,RECEIVED_OK,2023-03-20,04:31,,2023-03-20,07:32,,SUCCEEDED,,, ,,2023-03-20,10:50,FAILED,No exact address and no gate to access. No house number outaide. ,ACCESS_BLOCKED,,,,,,,,2023-03-20
